PHRMCY_REF_ID,PHRMCY_RELTNSHP_ID,PHRMCY_RELTNSHP_NAME,PHRMCY_RELTNSHP_EFF_DT,PHRMCY_RELTNSHP_THRU_DT,CREATE_TIMESTAMP,CREATED_BY,UPDATE_TIMESTAMP,UPDATED_BY,PHR_RELSHP_STAT_CD,PHR_RELSHP_TYP_CD,IS_EXPIRED
418411,904,ELEVATE PROVIDER NETWORK,1/1/2015,12/31/2039,25:07.9,System,02:43.9,System,NULL,NULL,NULL
2353528,00113 ,THE KROGER CO,9/14/2010,12/31/2039,25:07.9,System,30:09.1,System,A,01,N
