PRDCT_REF_ID,SRC_ENV_ID,PRDCT_ID,NDC_LBL_NAME,ADMIN_ROUTE,DRG_MANF,DEA_CD,GPI_THRPTC_CLASS_NAME,GPI_NUM_14_DIGIT,PRDCT_QUAL_CD,CREATE_TIMESTAMP,CREATED_BY,UPDATE_TIMESTAMP,UPDATED_BY,PKG_SIZE,UNIT_OF_MEASURE,PRDCT_DESCR,UNIT_OF_MEASURE_QTY,PKG_SIZE_TOTAL_QTY,MULTI_SRC_CD,DRUG_STRENGTH_QTY,DOSAGE_FORM_ID,DRG_UNIT_DOSE_USE_IND,GPI_NAME,DRG_STAT_CD,DRG_RX_OTC_IND
154577,500,00527179005,FLUPHENAZINE TAB 5MG,OR,LANNETT,0,Antipsychotics- 1st generation,5.92E+13,03,19:55.7,System,06:33.7,System,500,EA,BOTTLE,1,500,Y,5,TABS,-,FLUPHENAZINE HCL TAB 5 MG,A,S
1091441,500,57599080000,FREESTYLE LB KIT 2/SENSOR,XX,ABBOTT DIA,0,Diabetes Monitoring and Testing Supplies,9.7202E+13,03,07:21.3,System,08:37.7,System,1,EA,BOX,1,1,N,0,MISC,U,*CONTINUOUS GLUCOSE SYSTEM SENSOR***,A,R
1251607,500,72511039302,REPATHA SURE INJ 140MG/ML,SC,AMGEN USA,0,PCSK9 Inhibitors,3935002000D520,03,01:01.5,System,06:03.5,System,1,ML,PEN,2,2,N,140,SOAJ,X,EVOLOCUMAB SUBCUTANEOUS SOLN AUTO-INJECTOR 140 MG/ML,A,R
33960,500,00023932110,ALPHAGAN P   SOL 0.1% OP,OP,ALLERGAN,0,Ophthalmic Adrenergic Agents,8.6602E+13,03,19:55.7,System,08:46.4,System,10,ML,BOTTLE,1,10,O,0.1,SOLN,U,BRIMONIDINE TARTRATE OPHTH SOLN 0.1%,A,S
1194756,500,00002147180,MOUNJARO     INJ 10MG/0.5,SC,LILLY,0,GLP-1 Receptor Agonists,2717308000D525,03,08:17.4,System,09:05.6,System,0.5,ML,PEN,4,2,N,10,SOAJ,X,TIRZEPATIDE SOLN AUTO-INJECTOR 10 MG/0.5ML,A,R
1225493,500,68180043302,BROMFENAC    DRO 0.07% OP,OP,LUPIN PHRM,0,Ophthalmics - Misc.,8.6805E+13,03,21:17.4,System,41:31.0,System,3,ML,BOTTLE,1,3,Y,0.07,SOLN,U,BROMFENAC SODIUM OPHTH SOLN 0.07% (BASE EQUIVALENT),A,S
41989,500,00046087221,PREMARIN VAG CRE 0.625MG,VA,PFIZER US,0,Vaginal Estrogens,5.535E+13,03,19:55.7,System,06:13.3,System,30,GM,TUBE,1,30,N,0.625,CREA,U,"ESTROGENS, CONJUGATED VAGINAL CREAM 0.625 MG/GM",A,R
1195709,500,57599081800,FREESTYLE LB KIT 3/SENSOR,XX,ABBOTT DIA,0,Diabetes Monitoring and Testing Supplies,9.7202E+13,03,09:02.9,System,08:37.7,System,1,EA,BOX,1,1,N,0,MISC,U,*CONTINUOUS GLUCOSE SYSTEM SENSOR***,A,R
17664,500,00002771559,BASAGLAR KWP INJ 100/ML,SC,LILLY,0,Insulin,2710400300D220,03,19:55.7,System,09:05.6,System,3,ML,PEN,5,15,N,100,SOPN,U,INSULIN GLARGINE SOLN PEN-INJECTOR 100 UNIT/ML,A,R
687114,500,53436008404,VELTASSA     POW 8.4GM,OR,VIFOR PHAR,0,Potassium Removing Agents,9.94501E+13,03,19:55.7,System,06:03.5,System,4,EA,BOX,1,4,N,8.4,PACK,U,PATIROMER SORBITEX CALCIUM FOR SUSP PACKET 8.4 GM (BASE EQ),A,R
